"과목 및 유형",2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2025,2025,2025,2025,2025,2025
"과목 및 유형",평  균 (%),상위10% 이내 (%),11 ~ 30% (%),31 ~ 60% (%),61 ~ 80% (%),81 ~ 100% (%),평  균 (%),상위10% 이내 (%),11 ~ 30% (%),31 ~ 60% (%),61 ~ 80% (%),81 ~ 100% (%),평  균 (%),상위10% 이내 (%),11 ~ 30% (%),31 ~ 60% (%),61 ~ 80% (%),81 ~ 100% (%),평  균 (%),상위10% 이내 (%),11 ~ 30% (%),31 ~ 60% (%),61 ~ 80% (%),81 ~ 100% (%),평  균 (%),상위10% 이내 (%),11 ~ 30% (%),31 ~ 60% (%),61 ~ 80% (%),81 ~ 100% (%),평  균 (%),상위10% 이내 (%),11 ~ 30% (%),31 ~ 60% (%),61 ~ 80% (%),81 ~ 100% (%),평  균 (%),상위10% 이내 (%),11 ~ 30% (%),31 ~ 60% (%),61 ~ 80% (%),81 ~ 100% (%),평  균 (%),상위10% 이내 (%),11 ~ 30% (%),31 ~ 60% (%),61 ~ 80% (%),81 ~ 100% (%),평  균 (%),상위10% 이내 (%),11 ~ 30% (%),31 ~ 60% (%),61 ~ 80% (%),81 ~ 100% (%),평  균 (%),상위10% 이내 (%),11 ~ 30% (%),31 ~ 60% (%),61 ~ 80% (%),81 ~ 100% (%)
"유형: 일반교과 사교육",50.98666,62.62319,60.42933,53.69287,47.4051,34.78931,52.15243,64.02382,61.3353,54.95714,48.06031,36.50246,45.51699,59.63295,57.20196,50.1447,39.08189,25.19483,49.70089,66.85127,61.52016,53.39203,42.85411,29.67512,51.3561,68.19596,62.66161,55.29141,44.43035,31.69162,54.54612,69.72104,66.25096,58.48933,48.99898,33.84161,55.39275,72.57203,67.93728,59.17528,48.3134,34.32699,56.10497,71.96413,67.68821,60.57522,49.33054,35.25722,56.16387,71.98402,68.23632,60.79757,50.13358,34.06701,50.51746,68.05889,63.35275,54.74895,42.91606,28.24012
"개인과외",9.58896,12.03117,10.87115,10.10929,8.87523,6.937,8.70636,10.69182,10.29078,8.79865,7.82683,6.80872,11.41396,12.89733,14.53224,12.53799,10.5526,6.50106,12.34539,15.14594,14.58061,12.87013,10.66774,9.45607,11.97307,14.03303,13.96669,12.47517,11.2317,8.78843,13.45502,16.91459,15.18808,14.47349,12.00293,9.72847,13.07328,15.99902,15.6322,13.17619,12.40501,9.32605,12.38863,14.11614,15.00039,12.73384,11.63226,8.93248,12.00055,14.18937,12.84324,12.99104,11.32159,9.11006,10.24189,12.64953,11.49989,10.76191,9.32595,7.69088
"그룹과외",8.83632,11.78045,11.17907,9.31654,8.10294,4.92067,9.34445,12.59923,11.97354,9.82613,8.23746,5.35949,6.47876,9.03032,8.31489,7.2313,5.38303,3.15476,6.39098,9.66328,8.93891,6.84685,4.78646,2.95607,6.56789,9.25489,8.02919,7.24024,5.48301,3.69917,5.89171,9.07558,7.68436,6.47247,4.62771,2.73021,5.5833,7.51403,6.60626,6.2629,4.7449,3.27245,5.46915,7.42581,6.92391,5.80362,4.97785,2.85303,4.64766,5.13099,6.23601,5.13305,3.90362,2.73687,4.13146,6.03973,5.22999,4.46079,3.48647,2.04627
"학원수강",35.82261,46.30819,44.30719,38.55851,31.8885,21.51795,36.38714,47.95291,44.93434,38.63081,32.52094,22.16627,35.14893,46.71463,45.32559,38.95364,29.31142,18.43276,39.26025,53.24012,49.76493,43.14347,33.55621,20.81184,40.95098,56.11458,51.54307,44.4872,34.29794,23.25409,42.84132,56.78072,53.54889,46.18439,37.69978,24.34832,44.26591,61.43108,56.10417,47.66084,37.34746,24.39115,45.15266,60.83596,55.4348,49.66853,38.76005,25.30979,46.2731,62.17982,57.98082,50.49135,39.87326,25.54187,42.87791,60.02758,55.44504,46.90422,35.71393,20.97333
"방문학습지",11.85285,13.86977,13.17174,12.00303,11.5684,9.51245,12.32953,13.44605,13.77818,13.03668,11.72487,9.81127,0.61568,0.95138,0.59138,0.57754,0.48948,0.65108,0.52852,0.87803,0.50483,0.48256,0.54369,0.42234,0.51232,0.32226,0.4751,0.41919,0.55203,0.75432,0.49444,0.33562,0.24579,0.56078,0.61643,0.61107,0.49438,0.59922,0.42035,0.52729,0.40463,0.55781,0.43129,0.20408,0.31487,0.56628,0.43001,0.46915,0.37714,0.33556,0.18475,0.34416,0.44382,0.58376,0.26376,0.16839,0.27397,0.19467,0.2862,0.39108
"유료인터넷 및 통신강좌 등",5.13292,6.53885,6.09773,5.34848,4.62258,3.60363,5.19543,7.73415,6.42466,5.34128,4.19278,3.41819,4.10701,6.78312,5.19009,4.52368,3.01299,2.02441,5.49973,10.32062,6.84691,5.41432,4.13817,3.07232,5.77239,9.58548,7.56825,5.8786,4.40388,3.11915,9.40327,14.27896,12.03915,9.71037,7.56559,5.47507,9.78884,14.21562,12.25831,10.12644,8.39476,5.71382,10.62992,14.61515,13.83284,11.17844,8.69603,6.21578,10.8106,16.62945,15.10895,10.99359,8.54309,5.24588,8.38909,13.56862,11.69971,8.50292,6.15294,4.11386
"유형: 예체능,취미,교양 사교육",37.79443,40.42006,37.85065,38.13206,37.15821,36.49582,41.1266,40.9202,41.79562,40.94041,41.47045,40.48054,15.87079,7.50039,10.624,14.86341,20.03458,23.10148,14.83858,7.17646,9.53506,13.68331,18.67026,22.25068,13.50697,7.1331,9.46507,11.93064,16.43608,20.51837,14.58092,7.01465,9.87918,13.86759,16.99143,22.14383,15.99889,8.51572,10.7911,13.91405,19.85283,24.78759,16.02199,7.91343,10.61291,14.57266,20.15807,24.14556,17.2215,8.91199,10.80109,15.5789,20.34121,27.7323,17.14201,8.47226,10.41328,17.0201,20.83581,25.52272
"개인과외",5.70607,6.85937,5.86495,5.87694,5.0593,5.33754,5.76245,6.757,6.35003,5.18179,5.65216,5.63567,3.7822,2.57052,2.99665,3.57686,4.72451,4.59668,3.29399,2.15176,2.5606,3.1824,3.81371,4.29926,2.83734,2.45415,2.31793,2.47315,3.04843,3.92593,2.76226,2.14472,1.93825,2.40459,2.99153,4.27161,3.26894,2.16697,2.69365,2.57297,3.61918,5.19143,3.10002,2.24765,2.36562,2.7284,3.57548,4.42833,3.20038,2.55579,2.4933,2.45998,3.05885,5.58514,3.02126,2.03504,2.1295,3.11374,3.21268,4.18204
"그룹과외",4.05381,4.88243,4.38389,3.89413,3.69891,3.8864,4.88036,4.40537,4.74383,4.97739,5.25427,4.73902,1.08275,0.66495,0.7482,0.85231,1.30528,1.78447,1.06048,0.41412,0.74394,0.84418,1.33999,1.77787,0.94274,0.66908,0.55664,0.70831,1.05205,1.73925,0.90397,0.50177,0.69159,0.95593,0.61328,1.56245,1.10587,0.8356,0.79484,0.82631,1.20739,1.91035,1.11862,0.58952,0.81789,0.85683,1.56813,1.66892,1.2997,0.78812,0.95474,1.12266,1.22276,2.29076,1.04431,0.45178,0.59374,1.02323,1.24372,1.6826
"학원수강",29.22792,31.90435,29.05804,29.74414,28.78299,27.6677,31.30055,31.40092,32.27348,31.62156,31.22488,29.84326,10.38754,3.71573,6.59106,10.09182,13.18693,15.49751,9.85501,4.22809,5.82058,9.23913,13.05461,14.68706,9.35,4.02427,6.19949,8.6623,11.85082,13.9488,10.32855,4.17204,6.82022,10.23826,12.46227,15.21202,11.01152,5.12392,6.98415,9.83378,14.38833,16.77516,11.19434,4.58741,6.82937,10.71437,14.27422,16.97662,12.13415,5.03448,6.937,11.42351,15.25672,19.26143,12.33476,5.54566,7.2942,12.21895,15.64162,18.25003
"방문수업 및 기타",5.2686,6.12741,5.50114,5.37377,5.21075,4.48083,5.95965,6.08756,6.10984,5.67322,5.99746,6.13469,1.32837,0.7408,0.77476,0.91402,1.56562,2.62093,1.42571,0.59006,0.78888,1.17046,1.48286,2.86649,1.12403,0.35465,0.96575,0.75612,1.16081,2.2254,1.26482,0.53478,0.72025,0.906,1.59173,2.44046,1.4083,0.80745,0.79629,1.13538,1.56928,2.63682,1.46063,0.80984,1.133,0.9783,1.74816,2.61562,1.46339,0.79089,0.88476,1.28896,1.63158,2.52797,1.63628,0.96589,0.97542,1.38545,1.66417,3.0867
